log: Game client localhost started on port 36725
log: write: [JOIN|jamesBond]
log: creating player with name jamesBond
log: server: new player 'jamesBond' connected: [PLAYERS|travis,ron,jamesBond]
log: server: starting game: [PLAYERS|travis,ron,jamesBond]
log: server: [DEAL|B8,GD,Y4,Y7,B7,R6,R7]
log: server: [PLAYED|travis,R9]
log: server: [PLAYED|ron,R5]
log: server: [GO|R5]
log: player played: [PLAY|R7]
log: server: [PLAYED|jamesBond,R7]
log: server: [PLAYED|travis,Y7]
log: server: [PLAYED|ron,YD]
log: server: [DEAL|R1,B9]
log: server: [GO|YD]
log: player played: [PLAY|GD]
log: server: [PLAYED|jamesBond,GD]
log: server: [PLAYED|travis,G6]
log: server: [PLAYED|ron,GU]
log: server: [PLAYED|travis,NN]
log: server: [GO|GU]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|GS]
log: server: [GO|GU]
log: player played: [PLAY|GS]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,G3]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|G4]
log: server: [GO|G3]
log: player played: [PLAY|G4]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|NF]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: server: [DEAL|NF]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B6]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|G7]
log: server: [GO|G3]
log: player played: [PLAY|G7]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|Y0]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|Y1]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|BU]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|G1]
log: server: [GO|G3]
log: player played: [PLAY|G1]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|R9]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: server: [DEAL|R1]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|Y1]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|Y6]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|R2]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|RU]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B6]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|jamesBond,NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|BD]
