log: Game client localhost started on port 36725
log: write: [JOIN|ron]
log: creating player with name ron
log: server: new player 'ron' connected: [PLAYERS|travis,ron]
log: server: starting game: [PLAYERS|travis,ron]
log: server: [DEAL|GD,Y8,R6,G5,Y2,B7,Y0]
log: server: [PLAYED|travis,G7]
log: server: [GO|G7]
log: player played: [PLAY|GD]
log: server: [PLAYED|ron,GD]
log: server: [PLAYED|travis,BD]
log: server: [DEAL|Y9,R7]
log: server: [GO|BD]
log: player played: [PLAY|B7]
log: server: [PLAYED|ron,B7]
log: server: [PLAYED|travis,Y7]
log: server: [GO|Y7]
log: player played: [PLAY|Y2]
log: server: [PLAYED|ron,Y2]
log: server: [PLAYED|travis,G2]
log: server: [GO|G2]
log: player played: [PLAY|G5]
log: server: [PLAYED|ron,G5]
log: server: [PLAYED|travis,G3]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B2]
log: server: [GO|G3]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,G8]
log: server: [GO|G8]
log: player played: [PLAY|Y8]
log: server: [PLAYED|ron,Y8]
log: server: [PLAYED|travis,Y4]
log: server: [GO|Y4]
log: player played: [PLAY|Y0]
log: server: [PLAYED|ron,Y0]
log: server: [PLAYED|travis,NN]
log: server: [GO|Y0]
log: player played: [PLAY|Y9]
log: server: [PLAYED|ron,Y9]
log: server: [PLAYED|travis,NN]
log: server: [GO|Y9]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|GU]
log: server: [GO|Y9]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|Y9]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|R5]
log: server: [GO|Y9]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|Y9]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|YD]
log: server: [GO|Y9]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,Y2]
log: server: [GO|Y2]
log: player played: [PLAY|B2]
log: server: [PLAYED|ron,B2]
log: server: [PLAYED|travis,BS]
log: server: [PLAYED|travis,NN]
log: server: [GO|BS]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|G3]
log: server: [GO|BS]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|BS]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|YS]
log: server: [GO|BS]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|BS]
log: player played: [PLAY|YS]
log: server: [PLAYED|ron,YS]
log: server: [GO|YS]
log: player played: [PLAY|YD]
log: server: [PLAYED|ron,YD]
log: server: [PLAYED|travis,Y3]
log: server: [GO|Y3]
log: player played: [PLAY|G3]
log: server: [PLAYED|ron,G3]
log: server: [PLAYED|travis,G2]
log: server: [GO|G2]
log: player played: [PLAY|GU]
log: server: [PLAYED|ron,GU]
log: server: [PLAYED|travis,G1]
log: server: [GO|G1]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B4]
log: server: [GO|G1]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G1]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B8]
log: server: [GO|G1]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G1]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B5]
log: server: [GO|G1]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G1]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|Y8]
log: server: [GO|G1]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|G1]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|G0]
log: server: [GO|G1]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,G9]
log: server: [GO|G9]
log: player played: [PLAY|G0]
log: server: [PLAYED|ron,G0]
log: server: [PLAYED|travis,R0]
log: server: [GO|R0]
log: player played: [PLAY|R7]
log: server: [PLAYED|ron,R7]
log: server: [PLAYED|travis,R8]
log: server: [GO|R8]
log: player played: [PLAY|R5]
log: server: [PLAYED|ron,R5]
log: server: [PLAYED|travis,R4]
log: server: [GO|R4]
log: player played: [PLAY|B4]
log: server: [PLAYED|ron,B4]
log: server: [PLAYED|travis,B8]
log: server: [GO|B8]
log: player played: [PLAY|B8]
log: server: [PLAYED|ron,B8]
log: server: [PLAYED|travis,B6]
log: server: [GO|B6]
log: player played: [PLAY|R6]
log: server: [PLAYED|ron,R6]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B1]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|Y5]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|NF]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|R8]
log: server: [GO|R6]
log: player played: [PLAY|R8]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|RS]
log: server: [GO|R6]
log: player played: [PLAY|RS]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B6]
log: server: [GO|R6]
log: player played: [PLAY|B6]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|YU]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|Y9]
log: server: [GO|R6]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|R3]
log: server: [GO|R6]
log: player played: [PLAY|R3]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|R3]
log: server: [GO|R6]
log: player played: [PLAY|R3]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B7]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B3]
log: server: [GO|R6]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B4]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R6]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B5]
log: server: [GO|R6]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,RD]
log: server: [DEAL|R9,Y4]
log: server: [GO|RD]
log: player played: [PLAY|R9]
log: server: [PLAYED|ron,R9]
log: server: [PLAYED|travis,B9]
log: server: [GO|B9]
log: player played: [PLAY|B5]
log: server: [PLAYED|ron,B5]
log: server: [PLAYED|travis,B9]
log: server: [GO|B9]
log: player played: [PLAY|B3]
log: server: [PLAYED|ron,B3]
log: server: [PLAYED|travis,Y3]
log: server: [GO|Y3]
log: player played: [PLAY|Y4]
log: server: [PLAYED|ron,Y4]
log: server: [PLAYED|travis,YD]
log: server: [DEAL|G9,R9]
log: server: [GO|YD]
log: player played: [PLAY|Y5]
log: server: [PLAYED|ron,Y5]
log: server: [PLAYED|travis,NN]
log: server: [GO|Y5]
log: player played: [PLAY|B5]
log: server: [PLAYED|ron,B5]
log: server: [PLAYED|travis,B2]
log: server: [GO|B2]
log: player played: [PLAY|B4]
log: server: [PLAYED|ron,B4]
log: server: [PLAYED|travis,BU]
log: server: [GO|BU]
log: player played: [PLAY|B1]
log: server: [PLAYED|ron,B1]
log: server: [PLAYED|travis,G1]
log: server: [GO|G1]
log: player played: [PLAY|G9]
log: server: [PLAYED|ron,G9]
log: server: [PLAYED|travis,G8]
log: server: [GO|G8]
log: player played: [PLAY|Y8]
log: server: [PLAYED|ron,Y8]
log: server: [PLAYED|travis,NN]
log: server: [GO|Y8]
log: player played: [PLAY|Y9]
log: server: [PLAYED|ron,Y9]
log: server: [PLAYED|travis,NN]
log: server: [GO|Y9]
log: player played: [PLAY|R9]
log: server: [PLAYED|ron,R9]
log: server: [PLAYED|travis,NN]
log: server: [GO|R9]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|GS]
log: server: [GO|R9]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R9]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|R1]
log: server: [GO|R9]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|R9]
log: player played: [PLAY|R1]
log: server: [PLAYED|ron,R1]
log: server: [PLAYED|travis,Y1]
log: server: [GO|Y1]
log: player played: [PLAY|YU]
log: server: [PLAYED|ron,YU]
log: server: [PLAYED|travis,Y1]
log: server: [GO|Y1]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|BU]
log: server: [GO|Y1]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|Y1]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B0]
log: server: [GO|Y1]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|Y1]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|NW]
log: server: [GO|Y1]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,Y5]
log: server: [GO|Y5]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|G5]
log: server: [GO|Y5]
log: player played: [PLAY|G5]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|Y5]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|B1]
log: server: [GO|Y5]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|Y5]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|RS]
log: server: [GO|Y5]
log: server: [PLAYED|ron,NN]
log: server: [PLAYED|travis,NN]
log: server: [GO|Y5]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
log: server: [DEAL|RU]
log: server: [GO|Y5]
log: player played: [PLAY|NN]
log: player played: [PLAY|NN]
